collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2022351204905,2022,351204905,2,1,1,1,23,5,2,0,0,0,0,0,-1,9,E01003648,7,1,1.0,0.0,-1
2022351194837,2022,351194837,3,1,1,2,59,9,2,0,0,0,0,0,9,10,E01018121,6,1,1.0,0.0,-1
2022351180373,2022,351180373,2,1,1,1,44,7,3,0,0,0,0,0,1,10,E01018266,3,1,0.0,1.0,-1
2024351443571,2024,351443571,2,1,1,1,49,8,2,0,0,0,0,0,1,8,E01017987,7,1,1.0,0.0,1
2023351313428,2023,351313428,2,2,1,1,55,8,2,0,0,0,0,0,9,10,E01018232,7,1,1.0,0.0,-1
2020350995067,2020,350995067,2,1,1,1,34,6,3,0,0,0,0,0,1,8,E01017992,3,1,0.0,1.0,-1
2023351312887,2023,351312887,2,2,1,1,38,7,3,0,0,0,0,0,9,8,E01018297,3,1,0.0,1.0,-1
2024351475115,2024,351475115,2,1,1,1,53,8,3,0,0,0,0,0,19,9,E01027120,3,1,0.0,1.0,4
2020351010450,2020,351010450,3,2,1,1,39,7,3,0,0,0,0,0,9,10,E01018258,3,1,0.0,1.0,-1
2021351121797,2021,351121797,2,1,1,1,35,6,3,0,0,0,0,0,1,8,E01018003,3,1,0.0,1.0,-1
2023351370282,2023,351370282,1,1,1,2,34,6,2,0,0,0,0,0,1,4,E01017953,7,1,1.0,0.0,-1
2022351230042,2022,351230042,1,1,1,1,18,4,3,0,0,0,0,0,3,8,E01018225,3,1,0.0,1.0,-1
2023351352779,2023,351352779,1,1,2,1,43,7,3,0,0,-1,0,0,9,2,E01017948,3,1,0.0,1.0,-1
2024351473947,2024,351473947,2,1,1,1,23,5,3,0,0,0,0,0,3,8,E01035519,3,1,0.0,1.0,1
2021351107164,2021,351107164,2,2,1,1,35,6,3,0,0,0,0,0,19,10,E01018191,3,1,0.0,1.0,-1
2024351489103,2024,351489103,1,1,1,1,17,4,3,0,0,0,0,0,19,4,E01031030,3,1,0.0,1.0,5
2024351443673,2024,351443673,2,2,1,1,65,9,2,0,0,0,0,0,9,5,E01017972,7,1,1.0,0.0,1
2023351368449,2023,351368449,2,1,1,1,53,8,2,0,0,0,0,0,1,8,E01017992,7,1,1.0,0.0,-1
2020350929145,2020,350929145,1,1,1,1,26,6,3,0,0,0,0,0,8,9,E01018254,3,1,0.0,1.0,-1
2023351317574,2023,351317574,2,1,1,1,31,6,3,0,0,0,0,0,1,2,E01017946,3,1,0.0,1.0,-1
